"","key","value"
"1","mpg",21
"2","mpg",21
"3","mpg",22.8
"4","mpg",21.4
"5","mpg",18.7
"6","mpg",18.1
"7","mpg",14.3
"8","mpg",24.4
"9","mpg",22.8
"10","mpg",19.2
"11","mpg",17.8
"12","mpg",16.4
"13","mpg",17.3
"14","mpg",15.2
"15","mpg",10.4
"16","mpg",10.4
"17","mpg",14.7
"18","mpg",32.4
"19","mpg",30.4
"20","mpg",33.9
"21","mpg",21.5
"22","mpg",15.5
"23","mpg",15.2
"24","mpg",13.3
"25","mpg",19.2
"26","mpg",27.3
"27","mpg",26
"28","mpg",30.4
"29","mpg",15.8
"30","mpg",19.7
"31","mpg",15
"32","mpg",21.4
"33","cyl",6
"34","cyl",6
"35","cyl",4
"36","cyl",6
"37","cyl",8
"38","cyl",6
"39","cyl",8
"40","cyl",4
"41","cyl",4
"42","cyl",6
"43","cyl",6
"44","cyl",8
"45","cyl",8
"46","cyl",8
"47","cyl",8
"48","cyl",8
"49","cyl",8
"50","cyl",4
"51","cyl",4
"52","cyl",4
"53","cyl",4
"54","cyl",8
"55","cyl",8
"56","cyl",8
"57","cyl",8
"58","cyl",4
"59","cyl",4
"60","cyl",4
"61","cyl",8
"62","cyl",6
"63","cyl",8
"64","cyl",4
"65","disp",160
"66","disp",160
"67","disp",108
"68","disp",258
"69","disp",360
"70","disp",225
"71","disp",360
"72","disp",146.7
"73","disp",140.8
"74","disp",167.6
"75","disp",167.6
"76","disp",275.8
"77","disp",275.8
"78","disp",275.8
"79","disp",472
"80","disp",460
"81","disp",440
"82","disp",78.7
"83","disp",75.7
"84","disp",71.1
"85","disp",120.1
"86","disp",318
"87","disp",304
"88","disp",350
"89","disp",400
"90","disp",79
"91","disp",120.3
"92","disp",95.1
"93","disp",351
"94","disp",145
"95","disp",301
"96","disp",121
"97","hp",110
"98","hp",110
"99","hp",93
"100","hp",110
"101","hp",175
"102","hp",105
"103","hp",245
"104","hp",62
"105","hp",95
"106","hp",123
"107","hp",123
"108","hp",180
"109","hp",180
"110","hp",180
"111","hp",205
"112","hp",215
"113","hp",230
"114","hp",66
"115","hp",52
"116","hp",65
"117","hp",97
"118","hp",150
"119","hp",150
"120","hp",245
"121","hp",175
"122","hp",66
"123","hp",91
"124","hp",113
"125","hp",264
"126","hp",175
"127","hp",335
"128","hp",109
"129","drat",3.9
"130","drat",3.9
"131","drat",3.85
"132","drat",3.08
"133","drat",3.15
"134","drat",2.76
"135","drat",3.21
"136","drat",3.69
"137","drat",3.92
"138","drat",3.92
"139","drat",3.92
"140","drat",3.07
"141","drat",3.07
"142","drat",3.07
"143","drat",2.93
"144","drat",3
"145","drat",3.23
"146","drat",4.08
"147","drat",4.93
"148","drat",4.22
"149","drat",3.7
"150","drat",2.76
"151","drat",3.15
"152","drat",3.73
"153","drat",3.08
"154","drat",4.08
"155","drat",4.43
"156","drat",3.77
"157","drat",4.22
"158","drat",3.62
"159","drat",3.54
"160","drat",4.11
"161","wt",2.62
"162","wt",2.875
"163","wt",2.32
"164","wt",3.215
"165","wt",3.44
"166","wt",3.46
"167","wt",3.57
"168","wt",3.19
"169","wt",3.15
"170","wt",3.44
"171","wt",3.44
