Funding,Sin,type,Rep,LAB,QCBatch,strMAT,LabSam,Vol,Proportion,DryWt,WetWt,AnalysisType,Catno,C12d26,C16d34,C20d42,C24d50,C30d64,Units,C9ALK,C10ALK,C11ALK,C12ALK,C13ALK,C14ALK,C15ALK,C16ALK,C17ALK,PRISTANE,C18ALK,PHYTANE,C19ALK,C20ALK,C21ALK,C22ALK,C23ALK,C24ALK,C25ALK,C26ALK,C27ALK,C28ALK,C29ALK,C30ALK,C31ALK,C32ALK,C33ALK,C34ALK,C35ALK,C36ALK,TOTALKANES,UCM,comment
EVOSTC,-902,QC,1,ABL,W102390,,,,,,1,,NMFS_000,15.36,45.18,79.72,87.75,88.3,,0,5799.45,7115.06,10956.51,15395.75,6702.73,8123.46,11290.31,14661.78,15357.41,10569.87,51.86,10422.25,10096.19,10345.08,10734.76,9798.41,10298.19,9695.16,9626.83,4097.23,10516.27,9498.73,10178.54,0,10167.93,0,10776.32,0,0,242657.297,7941.51,
EVOSTC,-902,QC,1,ABL,L012391,,,,,,1,,NMFS_000,40.92,68.9,88.56,92.25,96.22,,0,9023.87,9666.23,11304.71,12642,8743.16,9499.99,11965.9,13658.33,14620.37,12613.31,83.68,11554.32,10535.58,10350.22,11261.91,10094.01,10558.76,10024.53,10042.29,4297.99,10852,9863.48,10519.27,0,10026.63,0,10198.68,0,0,254893.703,0,
EVOSTC,-902,QC,1,ABL,W101090,,,,,,1,,NMFS_000,44.39,77.84,89.25,86.86,86.11,,0,9399.48,9278.77,10175.89,10917.66,7349.33,8664.23,10943.05,12383.14,12438.59,12216.15,10.62,10844.65,9709.17,9294.96,10936.51,9604.66,9773.12,9025.75,8828.36,3642.2,10688.74,9407.45,9718.18,0,9036.44,0,8883.44,0,0,233495.297,0,
EVOSTC,-902,QC,1,ABL,W100990,,,,,,1,,NMFS_000,52.26,62.26,79.94,84.67,84.3,,0,9066.66,9243.51,10264.86,10935.77,9347.31,9264.81,10939.56,12284.63,12720.33,11400.22,31.01,10515.77,9758.74,9684.85,10703.32,9595.77,9919.45,9288.27,9123.07,3791.37,10838.32,9447.99,9672.03,0,8612.24,0,8425.46,0,0,235217.797,0,
EVOSTC,-902,QC,1,ABL,L011091,,,,,,1,,NMFS_000,56.32,64.76,79.08,81.98,70.1,,0,9730.53,9788.74,10753.78,11227.39,9902.69,9797.02,11554.08,13159.83,13234.49,12166.4,99.41,11107.67,10198.4,10083.09,10884.05,9804.75,10219.75,9635.09,9511.98,3999.69,10925.92,9671.49,10052.88,0,8990.24,0,5148.29,0,0,241905,0,
EVOSTC,-902,QC,1,ABL,W090690,,,,,,1,,NMFS_000,58.37,72.42,86.46,89.03,91.19,,0,11949.86,9871.67,12735.7,11463.26,9299.41,9725.59,11483.19,13144,12765.53,12405.27,109.92,11064.62,9976.75,9738.66,11153.32,9869.88,10291.98,9529.47,9343.76,3934.52,10312.5,9406.52,10106.83,0,9766.5,0,9910.39,0,0,250212,0,
EVOSTC,-902,QC,1,ABL,W022690,,,,,,1,,NMFS_000,59.64,74.47,89.01,92.64,95.54,,0,9234.59,9394.71,10239.52,10806.74,9014.37,9167.8,10869.72,12431.4,12371.55,11445.08,75.24,10462.71,9639.08,9530.13,10710.57,9545.26,9779.21,9055.49,8852.86,3702.8,9916.79,9076.09,9931.11,0,10065.98,0,10715.2,0,0,236624,17592.65,
EVOSTC,-902,QC,1,ABL,L040991,,,,,,1,,NMFS_000,60.09,64.32,72.56,67.61,68.99,,0,9956.71,10200.75,11109.66,11527.49,11118.19,10446.52,11546.66,12744.22,12318.14,12802.52,232.85,12283.2,9960.32,9182.37,11528.59,10181.64,10491.51,9817.92,9719.84,4213.79,11322,9810.85,10270.55,0,9780.66,0,10241.25,0,0,269737.5,0,
EVOSTC,-902,QC,1,ABL,L060691,,,,,,1,,NMFS_000,60.82,72.14,89.13,95.48,103.93,,0,9207.05,9463.64,10689.61,11469.15,10011.17,9872.92,11477.01,12329.27,13130.06,12114.04,84.34,10982.52,10102.04,10093.56,10583.15,9669.63,10218.33,9837.63,9933.83,4272.08,10521.18,9500.03,10085.53,0,9514.01,0,9833.69,0,0,245446.906,22506.42,
EVOSTC,-902,QC,1,ABL,F062591,,,,,,1,,NMFS_000,61.31,75.84,91.34,95.16,99.38,,0,8089.99,9246.49,10801.69,11735.35,9845.42,9831.32,11596.8,13108.43,12925.75,12454.11,103.16,11065.04,9976.33,9698.36,10887.17,9840.66,10309.88,9847.87,9870.96,4256.3,10293.15,9365.69,9963.35,0,9570.79,0,10755.15,0,0,246098.203,0,
EVOSTC,-902,QC,1,ABL,L050891,,,,,,1,,NMFS_000,62.22,69.39,81.63,83.65,86.77,,0,10774.77,10942.4,11693.69,11866.33,10733.33,10513.03,12214.65,13318.64,14049.29,13219.88,85.59,12024.94,10965.04,10734.31,11984.26,10686.23,11108.94,10447.37,10283.12,4315.77,11619.52,10430.21,10881.89,0,10225.98,0,10358.48,0,0,266455.906,4281.29,
EVOSTC,-902,QC,1,ABL,W080190,,,,,,1,,NMFS_000,62.65,73.64,82.37,83.27,89.08,,0,9424.59,9563.36,10443.56,10978.57,9759.12,9705.2,11278.85,11911.71,13589.95,12416.1,130.41,11014.67,9927.28,9791.9,11380.87,11211.62,12077.53,11160.86,10500.45,4271.63,9842.76,8712.85,9372.26,0,9071.48,0,9463.71,0,0,247138.5,0,
